,demand,drybulb,dewpnt,date,month,hour,day_of_week,day_of_year,weekend,holiday_name,holiday
993486,680.0,22.0,21.0,3/5/2003,Mar,23,Wed,64,False,,False
993487,623.0,22.0,21.0,3/5/2003,Mar,24,Wed,64,False,,False
993488,586.0,23.0,20.0,3/6/2003,Mar,1,Thu,65,False,,False
993489,572.0,21.0,20.0,3/6/2003,Mar,2,Thu,65,False,,False
993490,563.0,21.0,19.0,3/6/2003,Mar,3,Thu,65,False,,False
993491,563.0,20.0,18.0,3/6/2003,Mar,4,Thu,65,False,,False
993492,586.0,19.0,16.0,3/6/2003,Mar,5,Thu,65,False,,False
993493,644.0,17.0,16.0,3/6/2003,Mar,6,Thu,65,False,,False
993494,760.0,16.0,15.0,3/6/2003,Mar,7,Thu,65,False,,False
993495,812.0,14.0,14.0,3/6/2003,Mar,8,Thu,65,False,,False
993496,826.0,14.0,13.0,3/6/2003,Mar,9,Thu,65,False,,False
993497,830.0,14.0,8.0,3/6/2003,Mar,10,Thu,65,False,,False
993498,835.0,14.0,7.0,3/6/2003,Mar,11,Thu,65,False,,False
993499,850.0,13.0,7.0,3/6/2003,Mar,12,Thu,65,False,,False
993500,841.0,14.0,6.0,3/6/2003,Mar,13,Thu,65,False,,False
993501,840.0,14.0,4.0,3/6/2003,Mar,14,Thu,65,False,,False
993502,831.0,13.0,3.0,3/6/2003,Mar,15,Thu,65,False,,False
993503,820.0,13.0,0.0,3/6/2003,Mar,16,Thu,65,False,,False
993504,827.0,13.0,-4.0,3/6/2003,Mar,17,Thu,65,False,,False
993505,846.0,12.0,-5.0,3/6/2003,Mar,18,Thu,65,False,,False
993506,899.0,11.0,-5.0,3/6/2003,Mar,19,Thu,65,False,,False
993507,885.0,10.0,-4.0,3/6/2003,Mar,20,Thu,65,False,,False
993508,866.0,8.0,-3.0,3/6/2003,Mar,21,Thu,65,False,,False
993509,830.0,7.0,-4.0,3/6/2003,Mar,22,Thu,65,False,,False
993510,748.0,4.0,-2.0,3/6/2003,Mar,23,Thu,65,False,,False
993511,687.0,2.0,-4.0,3/6/2003,Mar,24,Thu,65,False,,False
993512,655.0,0.0,-5.0,3/7/2003,Mar,1,Fri,66,False,,False
993513,641.0,-1.0,-5.0,3/7/2003,Mar,2,Fri,66,False,,False
993514,629.0,-2.0,-6.0,3/7/2003,Mar,3,Fri,66,False,,False
993515,632.0,-3.0,-7.0,3/7/2003,Mar,4,Fri,66,False,,False
993516,649.0,-4.0,-8.0,3/7/2003,Mar,5,Fri,66,False,,False
993517,708.0,-5.0,-9.0,3/7/2003,Mar,6,Fri,66,False,,False
993518,818.0,-4.0,-8.0,3/7/2003,Mar,7,Fri,66,False,,False
993519,860.0,-5.0,-9.0,3/7/2003,Mar,8,Fri,66,False,,False
993520,862.0,1.0,-5.0,3/7/2003,Mar,9,Fri,66,False,,False
993521,854.0,8.0,0.0,3/7/2003,Mar,10,Fri,66,False,,False
993522,843.0,13.0,-1.0,3/7/2003,Mar,11,Fri,66,False,,False
993523,846.0,17.0,2.0,3/7/2003,Mar,12,Fri,66,False,,False
993524,830.0,19.0,3.0,3/7/2003,Mar,13,Fri,66,False,,False
993525,812.0,22.0,4.0,3/7/2003,Mar,14,Fri,66,False,,False
993526,795.0,24.0,5.0,3/7/2003,Mar,15,Fri,66,False,,False
993527,783.0,26.0,5.0,3/7/2003,Mar,16,Fri,66,False,,False
993528,779.0,27.0,6.0,3/7/2003,Mar,17,Fri,66,False,,False
993529,792.0,27.0,9.0,3/7/2003,Mar,18,Fri,66,False,,False
993530,846.0,26.0,7.0,3/7/2003,Mar,19,Fri,66,False,,False
993531,833.0,26.0,10.0,3/7/2003,Mar,20,Fri,66,False,,False
993532,816.0,26.0,10.0,3/7/2003,Mar,21,Fri,66,False,,False
993533,786.0,26.0,10.0,3/7/2003,Mar,22,Fri,66,False,,False
993534,718.0,27.0,9.0,3/7/2003,Mar,23,Fri,66,False,,False
993535,650.0,26.0,11.0,3/7/2003,Mar,24,Fri,66,False,,False
993536,622.0,26.0,12.0,3/8/2003,Mar,1,Sat,67,True,,False
993537,599.0,26.0,15.0,3/8/2003,Mar,2,Sat,67,True,,False
993538,583.0,26.0,17.0,3/8/2003,Mar,3,Sat,67,True,,False
993539,577.0,26.0,19.0,3/8/2003,Mar,4,Sat,67,True,,False
993540,581.0,26.0,21.0,3/8/2003,Mar,5,Sat,67,True,,False
993541,604.0,26.0,21.0,3/8/2003,Mar,6,Sat,67,True,,False
993542,641.0,26.0,22.0,3/8/2003,Mar,7,Sat,67,True,,False
993543,690.0,26.0,22.0,3/8/2003,Mar,8,Sat,67,True,,False
993544,745.0,27.0,22.0,3/8/2003,Mar,9,Sat,67,True,,False
993545,763.0,28.0,24.0,3/8/2003,Mar,10,Sat,67,True,,False
993546,758.0,30.0,25.0,3/8/2003,Mar,11,Sat,67,True,,False
993547,754.0,32.0,26.0,3/8/2003,Mar,12,Sat,67,True,,False
993548,734.0,34.0,29.0,3/8/2003,Mar,13,Sat,67,True,,False
993549,711.0,36.0,29.0,3/8/2003,Mar,14,Sat,67,True,,False
993550,698.0,37.0,29.0,3/8/2003,Mar,15,Sat,67,True,,False
993551,697.0,38.0,30.0,3/8/2003,Mar,16,Sat,67,True,,False
993552,707.0,39.0,30.0,3/8/2003,Mar,17,Sat,67,True,,False
993553,745.0,38.0,31.0,3/8/2003,Mar,18,Sat,67,True,,False
993554,791.0,38.0,31.0,3/8/2003,Mar,19,Sat,67,True,,False
993555,770.0,38.0,32.0,3/8/2003,Mar,20,Sat,67,True,,False
993556,750.0,37.0,32.0,3/8/2003,Mar,21,Sat,67,True,,False
993557,705.0,38.0,31.0,3/8/2003,Mar,22,Sat,67,True,,False
993558,646.0,38.0,31.0,3/8/2003,Mar,23,Sat,67,True,,False
993559,590.0,37.0,34.0,3/8/2003,Mar,24,Sat,67,True,,False
993560,563.0,37.0,35.0,3/9/2003,Mar,1,Sun,68,True,,False
993561,535.0,38.0,36.0,3/9/2003,Mar,2,Sun,68,True,,False
993562,521.0,38.0,36.0,3/9/2003,Mar,3,Sun,68,True,,False
993563,515.0,38.0,36.0,3/9/2003,Mar,4,Sun,68,True,,False
993564,518.0,38.0,36.0,3/9/2003,Mar,5,Sun,68,True,,False
993565,536.0,38.0,37.0,3/9/2003,Mar,6,Sun,68,True,,False
993566,567.0,35.0,34.0,3/9/2003,Mar,7,Sun,68,True,,False
993567,618.0,34.0,33.0,3/9/2003,Mar,8,Sun,68,True,,False
993568,686.0,27.0,26.0,3/9/2003,Mar,9,Sun,68,True,,False
993569,730.0,23.0,19.0,3/9/2003,Mar,10,Sun,68,True,,False
993570,741.0,23.0,19.0,3/9/2003,Mar,11,Sun,68,True,,False
993571,750.0,21.0,16.0,3/9/2003,Mar,12,Sun,68,True,,False
993572,742.0,20.0,14.0,3/9/2003,Mar,13,Sun,68,True,,False
993573,726.0,18.0,12.0,3/9/2003,Mar,14,Sun,68,True,,False
993574,714.0,18.0,7.0,3/9/2003,Mar,15,Sun,68,True,,False
993575,714.0,19.0,5.0,3/9/2003,Mar,16,Sun,68,True,,False
993576,728.0,17.0,1.0,3/9/2003,Mar,17,Sun,68,True,,False
993577,769.0,15.0,-1.0,3/9/2003,Mar,18,Sun,68,True,,False
993578,824.0,13.0,-2.0,3/9/2003,Mar,19,Sun,68,True,,False
993579,819.0,12.0,-4.0,3/9/2003,Mar,20,Sun,68,True,,False
993580,798.0,11.0,-3.0,3/9/2003,Mar,21,Sun,68,True,,False
993581,734.0,9.0,-1.0,3/9/2003,Mar,22,Sun,68,True,,False
993582,680.0,12.0,2.0,3/9/2003,Mar,23,Sun,68,True,,False
993583,624.0,12.0,1.0,3/9/2003,Mar,24,Sun,68,True,,False
993584,615.0,11.0,0.0,3/10/2003,Mar,1,Mon,69,False,,False
993585,601.0,10.0,-1.0,3/10/2003,Mar,2,Mon,69,False,,False
993586,599.0,9.0,-2.0,3/10/2003,Mar,3,Mon,69,False,,False
993587,604.0,8.0,-3.0,3/10/2003,Mar,4,Mon,69,False,,False
993588,618.0,8.0,-2.0,3/10/2003,Mar,5,Mon,69,False,,False
993589,677.0,7.0,-1.0,3/10/2003,Mar,6,Mon,69,False,,False
993590,800.0,7.0,-2.0,3/10/2003,Mar,7,Mon,69,False,,False
993591,852.0,8.0,2.0,3/10/2003,Mar,8,Mon,69,False,,False
993592,859.0,9.0,2.0,3/10/2003,Mar,9,Mon,69,False,,False
993593,869.0,10.0,3.0,3/10/2003,Mar,10,Mon,69,False,,False
993594,867.0,13.0,1.0,3/10/2003,Mar,11,Mon,69,False,,False
993595,880.0,12.0,4.0,3/10/2003,Mar,12,Mon,69,False,,False
993596,869.0,12.0,5.0,3/10/2003,Mar,13,Mon,69,False,,False
993597,855.0,11.0,0.0,3/10/2003,Mar,14,Mon,69,False,,False
993598,836.0,11.0,1.0,3/10/2003,Mar,15,Mon,69,False,,False
993599,823.0,13.0,0.0,3/10/2003,Mar,16,Mon,69,False,,False
993600,827.0,14.0,1.0,3/10/2003,Mar,17,Mon,69,False,,False
993601,851.0,14.0,-1.0,3/10/2003,Mar,18,Mon,69,False,,False
993602,899.0,13.0,0.0,3/10/2003,Mar,19,Mon,69,False,,False
993603,890.0,13.0,-1.0,3/10/2003,Mar,20,Mon,69,False,,False
993604,871.0,12.0,0.0,3/10/2003,Mar,21,Mon,69,False,,False
993605,826.0,13.0,-2.0,3/10/2003,Mar,22,Mon,69,False,,False
993606,742.0,12.0,0.0,3/10/2003,Mar,23,Mon,69,False,,False
993607,682.0,11.0,1.0,3/10/2003,Mar,24,Mon,69,False,,False
993608,647.0,10.0,3.0,3/11/2003,Mar,1,Tue,70,False,,False
993609,631.0,12.0,4.0,3/11/2003,Mar,2,Tue,70,False,,False
993610,625.0,12.0,5.0,3/11/2003,Mar,3,Tue,70,False,,False
993611,623.0,11.0,4.0,3/11/2003,Mar,4,Tue,70,False,,False
993612,638.0,10.0,4.0,3/11/2003,Mar,5,Tue,70,False,,False
993613,702.0,10.0,3.0,3/11/2003,Mar,6,Tue,70,False,,False
993614,811.0,10.0,4.0,3/11/2003,Mar,7,Tue,70,False,,False
993615,864.0,11.0,5.0,3/11/2003,Mar,8,Tue,70,False,,False
993616,862.0,13.0,7.0,3/11/2003,Mar,9,Tue,70,False,,False
993617,862.0,15.0,8.0,3/11/2003,Mar,10,Tue,70,False,,False
993618,858.0,17.0,11.0,3/11/2003,Mar,11,Tue,70,False,,False
993619,863.0,19.0,13.0,3/11/2003,Mar,12,Tue,70,False,,False
993620,844.0,21.0,14.0,3/11/2003,Mar,13,Tue,70,False,,False
993621,828.0,24.0,16.0,3/11/2003,Mar,14,Tue,70,False,,False
993622,812.0,26.0,17.0,3/11/2003,Mar,15,Tue,70,False,,False
993623,801.0,28.0,17.0,3/11/2003,Mar,16,Tue,70,False,,False
993624,808.0,28.0,18.0,3/11/2003,Mar,17,Tue,70,False,,False
993625,828.0,29.0,17.0,3/11/2003,Mar,18,Tue,70,False,,False
993626,874.0,29.0,18.0,3/11/2003,Mar,19,Tue,70,False,,False
993627,860.0,28.0,19.0,3/11/2003,Mar,20,Tue,70,False,,False
993628,843.0,28.0,19.0,3/11/2003,Mar,21,Tue,70,False,,False
993629,792.0,29.0,18.0,3/11/2003,Mar,22,Tue,70,False,,False
993630,706.0,28.0,17.0,3/11/2003,Mar,23,Tue,70,False,,False
993631,648.0,30.0,19.0,3/11/2003,Mar,24,Tue,70,False,,False
993632,612.0,30.0,23.0,3/12/2003,Mar,1,Wed,71,False,,False
993633,588.0,31.0,25.0,3/12/2003,Mar,2,Wed,71,False,,False
993634,583.0,31.0,27.0,3/12/2003,Mar,3,Wed,71,False,,False
993635,576.0,31.0,27.0,3/12/2003,Mar,4,Wed,71,False,,False
993636,588.0,31.0,28.0,3/12/2003,Mar,5,Wed,71,False,,False
993637,642.0,32.0,29.0,3/12/2003,Mar,6,Wed,71,False,,False
993638,760.0,33.0,30.0,3/12/2003,Mar,7,Wed,71,False,,False
993639,812.0,33.0,31.0,3/12/2003,Mar,8,Wed,71,False,,False
993640,815.0,34.0,32.0,3/12/2003,Mar,9,Wed,71,False,,False
993641,812.0,35.0,33.0,3/12/2003,Mar,10,Wed,71,False,,False
993642,813.0,36.0,34.0,3/12/2003,Mar,11,Wed,71,False,,False
993643,815.0,36.0,35.0,3/12/2003,Mar,12,Wed,71,False,,False
993644,806.0,37.0,36.0,3/12/2003,Mar,13,Wed,71,False,,False
993645,805.0,38.0,36.0,3/12/2003,Mar,14,Wed,71,False,,False
993646,791.0,38.0,37.0,3/12/2003,Mar,15,Wed,71,False,,False
993647,779.0,38.0,38.0,3/12/2003,Mar,16,Wed,71,False,,False
993648,794.0,39.0,37.0,3/12/2003,Mar,17,Wed,71,False,,False
993649,818.0,36.0,34.0,3/12/2003,Mar,18,Wed,71,False,,False
993650,847.0,30.0,30.0,3/12/2003,Mar,19,Wed,71,False,,False
993651,833.0,29.0,29.0,3/12/2003,Mar,20,Wed,71,False,,False
993652,810.0,29.0,23.0,3/12/2003,Mar,21,Wed,71,False,,False
993653,763.0,29.0,19.0,3/12/2003,Mar,22,Wed,71,False,,False
993654,677.0,28.0,18.0,3/12/2003,Mar,23,Wed,71,False,,False
993655,617.0,28.0,18.0,3/12/2003,Mar,24,Wed,71,False,,False
993656,582.0,26.0,18.0,3/13/2003,Mar,1,Thu,72,False,,False
993657,571.0,24.0,16.0,3/13/2003,Mar,2,Thu,72,False,,False
993658,561.0,22.0,14.0,3/13/2003,Mar,3,Thu,72,False,,False
993659,567.0,19.0,14.0,3/13/2003,Mar,4,Thu,72,False,,False
993660,587.0,16.0,8.0,3/13/2003,Mar,5,Thu,72,False,,False
993661,643.0,14.0,7.0,3/13/2003,Mar,6,Thu,72,False,,False
993662,757.0,12.0,6.0,3/13/2003,Mar,7,Thu,72,False,,False
993663,809.0,11.0,4.0,3/13/2003,Mar,8,Thu,72,False,,False
993664,824.0,12.0,4.0,3/13/2003,Mar,9,Thu,72,False,,False
993665,829.0,12.0,6.0,3/13/2003,Mar,10,Thu,72,False,,False
993666,832.0,13.0,6.0,3/13/2003,Mar,11,Thu,72,False,,False
993667,841.0,14.0,5.0,3/13/2003,Mar,12,Thu,72,False,,False
993668,835.0,14.0,5.0,3/13/2003,Mar,13,Thu,72,False,,False
993669,830.0,14.0,3.0,3/13/2003,Mar,14,Thu,72,False,,False
993670,823.0,14.0,4.0,3/13/2003,Mar,15,Thu,72,False,,False
993671,816.0,15.0,4.0,3/13/2003,Mar,16,Thu,72,False,,False
993672,817.0,16.0,5.0,3/13/2003,Mar,17,Thu,72,False,,False
993673,832.0,15.0,2.0,3/13/2003,Mar,18,Thu,72,False,,False
993674,876.0,14.0,1.0,3/13/2003,Mar,19,Thu,72,False,,False
993675,870.0,12.0,0.0,3/13/2003,Mar,20,Thu,72,False,,False
993676,853.0,11.0,-1.0,3/13/2003,Mar,21,Thu,72,False,,False
993677,813.0,10.0,-2.0,3/13/2003,Mar,22,Thu,72,False,,False
993678,729.0,8.0,1.0,3/13/2003,Mar,23,Thu,72,False,,False
993679,671.0,6.0,2.0,3/13/2003,Mar,24,Thu,72,False,,False
993680,637.0,5.0,0.0,3/14/2003,Mar,1,Fri,73,False,,False
993681,621.0,4.0,1.0,3/14/2003,Mar,2,Fri,73,False,,False
993682,614.0,4.0,0.0,3/14/2003,Mar,3,Fri,73,False,,False
993683,616.0,2.0,0.0,3/14/2003,Mar,4,Fri,73,False,,False
993684,632.0,5.0,-1.0,3/14/2003,Mar,5,Fri,73,False,,False
993685,689.0,5.0,-1.0,3/14/2003,Mar,6,Fri,73,False,,False
993686,795.0,4.0,-2.0,3/14/2003,Mar,7,Fri,73,False,,False
993687,846.0,4.0,-1.0,3/14/2003,Mar,8,Fri,73,False,,False
993688,855.0,7.0,0.0,3/14/2003,Mar,9,Fri,73,False,,False
993689,855.0,10.0,1.0,3/14/2003,Mar,10,Fri,73,False,,False
993690,851.0,12.0,2.0,3/14/2003,Mar,11,Fri,73,False,,False
993691,854.0,14.0,2.0,3/14/2003,Mar,12,Fri,73,False,,False
993692,836.0,15.0,1.0,3/14/2003,Mar,13,Fri,73,False,,False
993693,820.0,17.0,3.0,3/14/2003,Mar,14,Fri,73,False,,False
993694,804.0,19.0,-1.0,3/14/2003,Mar,15,Fri,73,False,,False
993695,789.0,21.0,3.0,3/14/2003,Mar,16,Fri,73,False,,False
993696,786.0,23.0,5.0,3/14/2003,Mar,17,Fri,73,False,,False
993697,801.0,20.0,6.0,3/14/2003,Mar,18,Fri,73,False,,False
993698,846.0,20.0,6.0,3/14/2003,Mar,19,Fri,73,False,,False
993699,838.0,21.0,6.0,3/14/2003,Mar,20,Fri,73,False,,False
993700,820.0,21.0,8.0,3/14/2003,Mar,21,Fri,73,False,,False
993701,790.0,21.0,8.0,3/14/2003,Mar,22,Fri,73,False,,False
993702,718.0,21.0,10.0,3/14/2003,Mar,23,Fri,73,False,,False
993703,646.0,20.0,11.0,3/14/2003,Mar,24,Fri,73,False,,False
993704,611.0,20.0,13.0,3/15/2003,Mar,1,Sat,74,True,,False
993705,592.0,21.0,12.0,3/15/2003,Mar,2,Sat,74,True,,False
993706,579.0,20.0,14.0,3/15/2003,Mar,3,Sat,74,True,,False
993707,575.0,20.0,16.0,3/15/2003,Mar,4,Sat,74,True,,False
993708,582.0,18.0,18.0,3/15/2003,Mar,5,Sat,74,True,,False
993709,606.0,18.0,18.0,3/15/2003,Mar,6,Sat,74,True,,False
993710,642.0,19.0,18.0,3/15/2003,Mar,7,Sat,74,True,,False
993711,690.0,20.0,20.0,3/15/2003,Mar,8,Sat,74,True,,False
993712,752.0,21.0,21.0,3/15/2003,Mar,9,Sat,74,True,,False
993713,778.0,25.0,23.0,3/15/2003,Mar,10,Sat,74,True,,False
993714,770.0,28.0,26.0,3/15/2003,Mar,11,Sat,74,True,,False
993715,767.0,31.0,27.0,3/15/2003,Mar,12,Sat,74,True,,False
993716,748.0,33.0,24.0,3/15/2003,Mar,13,Sat,74,True,,False
993717,724.0,35.0,24.0,3/15/2003,Mar,14,Sat,74,True,,False
993718,704.0,35.0,28.0,3/15/2003,Mar,15,Sat,74,True,,False
993719,692.0,35.0,29.0,3/15/2003,Mar,16,Sat,74,True,,False
993720,694.0,36.0,27.0,3/15/2003,Mar,17,Sat,74,True,,False
